step,env_id,cutoff_hz,input_action,output_action
186,2,10.0,1.0,1.0
186,3,20.0,1.0,1.0
187,0,2.0,1.0,0.9999998211860657
187,1,5.0,1.0,0.9999999403953552
187,2,10.0,1.0,1.0
187,3,20.0,1.0,1.0
188,0,2.0,1.0,0.9999998211860657
188,1,5.0,1.0,0.9999999403953552
188,2,10.0,1.0,1.0
188,3,20.0,1.0,1.0
189,0,2.0,1.0,0.9999998211860657
189,1,5.0,1.0,0.9999999403953552
189,2,10.0,1.0,1.0
189,3,20.0,1.0,1.0
190,0,2.0,1.0,0.9999998211860657
190,1,5.0,1.0,0.9999999403953552
190,2,10.0,1.0,1.0
190,3,20.0,1.0,1.0
191,0,2.0,1.0,0.9999998211860657
191,1,5.0,1.0,0.9999999403953552
191,2,10.0,1.0,1.0
191,3,20.0,1.0,1.0
192,0,2.0,1.0,0.9999998211860657
192,1,5.0,1.0,0.9999999403953552
192,2,10.0,1.0,1.0
