step,env_id,time_s,warmup_factor
90,1,0.9,1.0011885166168213
90,2,0.9,1.0284262895584106
90,3,0.9,1.0202182531356812
90,4,0.9,1.0267789363861084
90,5,0.9,1.0356531143188477
90,6,0.9,1.0030113458633423
90,7,0.9,1.021748661994934
91,0,0.91,1.0443907976150513
91,1,0.91,1.0011650323867798
91,2,0.91,1.0278633832931519
91,3,0.91,1.0198179483413696
91,4,0.91,1.0262486934661865
91,5,0.91,1.034947156906128
91,6,0.91,1.002951741218567
91,7,0.91,1.021317958831787
92,0,0.92,1.0435117483139038
92,1,0.92,1.001141905784607
92,2,0.92,1.0273116827011108
92,3,0.92,1.0194255113601685
92,4,0.92,1.0257289409637451
92,5,0.92,1.0342551469802856
92,6,0.92,1.002893328666687
92,7,0.92,1.0208958387374878
93,0,0.93,1.0426501035690308
93,1,0.93,1.0011192560195923
93,2,0.93,1.026770830154419
93,3,0.93,1.019040822982788
93,4,0.93,1.025219440460205
93,5,0.93,1.0335768461227417
93,6,0.93,1.002835988998413
93,7,0.93,1.020482063293457
94,0,0.94,1.041805624961853
94,1,0.94,1.0010970830917358
94,2,0.94,1.0262407064437866
94,3,0.94,1.018663763999939
94,4,0.94,1.0247200727462769
94,5,0.94,1.032912015914917
94,6,0.94,1.0027798414230347
94,7,0.94,1.0200765132904053
95,0,0.95,1.0409778356552124
95,1,0.95,1.0010753870010376
95,2,0.95,1.0257210731506348
95,3,0.95,1.0182942152023315
95,4,0.95,1.0242305994033813
95,5,0.95,1.0322602987289429
95,6,0.95,1.0027247667312622
95,7,0.95,1.0196789503097534
96,0,0.96,1.0401663780212402
96,1,0.96,1.001054048538208
96,2,0.96,1.0252118110656738
96,3,0.96,1.0179319381713867
96,4,0.96,1.0237507820129395
96,5,0.96,1.0316214561462402
96,6,0.96,1.0026707649230957
96,7,0.96,1.019289255142212
97,0,0.97,1.0393710136413574
97,1,0.97,1.0010331869125366
97,2,0.97,1.0247125625610352
97,3,0.97,1.017576813697815
97,4,0.97,1.0232805013656616
97,5,0.97,1.0309953689575195
97,6,0.97,1.0026178359985352
97,7,0.97,1.0189073085784912
98,0,0.98,1.0385913848876953
98,1,0.98,1.0010126829147339
98,2,0.98,1.0242232084274292
98,3,0.98,1.0172287225723267
98,4,0.98,1.0228195190429688
98,5,0.98,1.030381679534912
98,6,0.98,1.0025659799575806
98,7,0.98,1.0185328722000122
99,0,0.99,1.0378272533416748
99,1,0.99,1.0009926557540894
99,2,0.99,1.0237435102462769
99,3,0.99,1.0168875455856323
99,4,0.99,1.0223677158355713
99,5,0.99,1.0297800302505493
99,6,0.99,1.002515196800232
99,7,0.99,1.018165946006775
